Date,Time,PM 1.0,PM 2.5,PM 10.0,MQ131 PPM,Temperature,Humidity
15/11/2024,17:27:01,30,44,52,2.83,0,0.00%
15/11/2024,17:27:07,30,44,51,2.63,29,82.00%
15/11/2024,17:27:14,30,44,51,2.12,29,82.00%
15/11/2024,17:27:20,30,44,51,1.8,29,82.00%
15/11/2024,17:27:26,29,43,50,1.69,29,82.00%
15/11/2024,17:27:32,29,43,50,1.5,29,82.00%
15/11/2024,17:27:38,29,43,50,1.36,29,82.00%
15/11/2024,17:27:44,29,43,51,1.36,29,82.00%
15/11/2024,17:27:50,28,43,51,1.27,29,82.00%
15/11/2024,17:27:56,28,42,51,1.21,29,82.00%
15/11/2024,17:28:02,29,45,53,1.22,29,82.00%
15/11/2024,17:28:08,28,43,51,1.15,29,82.00%
15/11/2024,17:28:14,28,43,54,1.15,29,82.00%
15/11/2024,17:28:20,28,43,55,1.07,29,82.00%
15/11/2024,17:28:26,28,43,54,1.08,29,82.00%
15/11/2024,17:28:33,27,43,53,1.03,29,82.00%
15/11/2024,17:28:39,27,42,52,1,29,82.00%
15/11/2024,17:28:45,27,42,51,1.04,29,82.00%
15/11/2024,17:28:51,27,43,51,1.02,29,82.00%
15/11/2024,17:28:57,26,43,51,1.02,29,82.00%
15/11/2024,17:29:03,27,44,53,1.01,29,82.00%
15/11/2024,17:29:09,26,43,52,0.98,29,82.00%
15/11/2024,17:29:15,26,43,52,1.01,29,82.00%
15/11/2024,17:29:21,27,44,53,1.02,29,82.00%
15/11/2024,17:29:27,27,44,53,0.97,29,82.00%
15/11/2024,17:29:33,26,42,50,0.99,29,82.00%
16/11/2024,3:45:10,19,27,38,12.99,0,0.00%
16/11/2024,3:45:20,19,27,37,12.24,30,81.00%
16/11/2024,3:46:44,,,,2.67,0,0.00%
16/11/2024,3:46:54,20,30,32,2.23,30,81.00%
16/11/2024,3:47:04,19,30,32,2.04,30,81.00%
16/11/2024,3:47:14,19,30,32,1.89,30,81.00%
16/11/2024,3:47:24,19,30,31,1.69,30,81.00%
16/11/2024,3:47:34,23,36,37,1.61,30,81.00%
16/11/2024,3:47:44,23,36,37,1.59,29,82.00%
16/11/2024,3:47:54,23,36,37,1.53,29,82.00%
16/11/2024,3:48:04,23,36,37,1.5,29,82.00%
16/11/2024,3:48:14,21,35,36,1.51,29,82.00%
16/11/2024,3:48:24,21,35,36,1.52,29,82.00%
16/11/2024,3:48:34,16,28,30,1.5,29,82.00%
16/11/2024,3:48:44,16,28,30,1.53,29,82.00%
16/11/2024,17:57:19,33,36,inf,0,0.00%,
16/11/2024,17:57:29,24,26,inf,30,81.00%,
16/11/2024,17:57:39,26,29,1171153.62,30,81.00%,
16/11/2024,17:57:49,28,32,16581.11,30,81.00%,
16/11/2024,18:00:41,28,28,6737.78,0,0.00%,
16/11/2024,18:00:51,27,28,4671.8,29,81.00%,
16/11/2024,18:01:01,28,29,1895.48,30,80.00%,
16/11/2024,18:01:11,28,32,1081.64,30,80.00%,
16/11/2024,18:01:21,29,33,680.98,30,80.00%,
16/11/2024,18:07:45,33,35,218.75,0,0.00%,
16/11/2024,18:07:57,32,34,1110.12,30,81.00%,
16/11/2024,18:08:09,30,32,562.98,30,81.00%,
16/11/2024,20:44:04,39,52,10301778,0,0.00%,
16/11/2024,20:44:16,35,44,327372.06,29,84.00%,
16/11/2024,20:44:28,35,44,0,29,84.00%,
16/11/2024,20:44:41,33,40,56028.27,29,84.00%,
16/11/2024,20:44:53,33,39,13212514,29,84.00%,
